title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Solicitation of Nominations for Membership on the Rural Community Economic Development (RCED) Subcommittee of the USDA Equity Commission,Notice,Agriculture Department,"In accordance with Section 1006 of the American Rescue Plan Act of 2021, USDA Secretary Thomas Vilsack established an Equity Commission. The USDA Equity Commission will advise the Secretary of Agriculture by facilitating identification of critical USDA programs, policies, systems, structures, and practices that contribute to barriers to inclusion or access, systemic discrimination, or exacerbate or perpetuate racial, economic, health and social disparities. The USDA Equity Commission is governed under the American Rescue Plan Act of 2021, and by the provisions of the Federal Advisory Committee Act (FACA). A Rural Community Economic Development (RCED) Subcommittee is being formed and will be charged with providing recommendations on issues and concerns related to rural development, persistent poverty, and underserved communities.",87 FR 20806, 2022-07260,https://www.federalregister.gov/documents/2022/04/08/2022-07260/solicitation-of-nominations-for-membership-on-the-rural-community-economic-development-rced,https://www.govinfo.gov/content/pkg/FR-2022-04-08/pdf/2022-07260.pdf,04/08/2022
"Notice of Intent To Prepare an Environmental Impact Statement for the Owyhee Irrigation District Infrastructure Modernization Project, Malheur County, OR",Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) Oregon State Office, in coordination with the U.S. Bureau of Reclamation, announces its intent to prepare an EIS for the Owyhee Irrigation District (OID) Infrastructure Modernization Project (Modernization Project). The project area is located along the Owyhee and Snake rivers in Eastern Oregon 50 miles west of Boise, Idaho in proximity to the town of Nyssa, Oregon. The proposed EIS will examine alternative solutions to improve the OID agricultural water management. OID is the sponsoring local organization for the project. NRCS is requesting comments to identify significant issues, potential alternatives, information, and analyses relevant to the proposed action from all interested individuals, Federal and State agencies, and Tribes.",90 FR 4718, 2025-00958,https://www.federalregister.gov/documents/2025/01/16/2025-00958/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-owyhee-irrigation-district,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00958.pdf,01/16/2025
Implementation of Water and Environmental Provisions of the Agricultural Improvement Act of 2018,Rule,Agriculture Department; Rural Utilities Service,The Rural Utilities Service (RUS) is issuing a final rule to implement statutory provisions of the Agriculture Improvement Act of 2018 (2018 Farm Bill). The intent of this rule is to modify existing regulations to include the statutory revisions authorized by the 2018 Farm Bill.,85 FR 23208, 2020-08034,https://www.federalregister.gov/documents/2020/04/27/2020-08034/implementation-of-water-and-environmental-provisions-of-the-agricultural-improvement-act-of-2018,https://www.govinfo.gov/content/pkg/FR-2020-04-27/pdf/2020-08034.pdf,04/27/2020
Agricultural Disaster Indemnity Programs,Rule,Agriculture Department; Farm Service Agency,"This rule establishes the Quality Loss Adjustment (QLA) Program to provide assistance to producers who suffered eligible crop quality losses due to hurricanes, excessive moisture, floods, drought, tornadoes, typhoons, volcanic activity, snowstorms, and wildfires occurring in calendar years 2018 and 2019. It also amends the provisions for the Wildfire and Hurricane Indemnity Program Plus (WHIP+) to be consistent with the Further Consolidated Appropriations Act, 2020, by adding excessive moisture and drought occurring in 2018 and 2019 as qualifying disaster events and clarifying eligibility of sugar beets. The changes to WHIP+ were self-enacting and were previously implemented by FSA.",86 FR 439, 2020-28914,https://www.federalregister.gov/documents/2021/01/06/2020-28914/agricultural-disaster-indemnity-programs,https://www.govinfo.gov/content/pkg/FR-2021-01-06/pdf/2020-28914.pdf,01/06/2021
Pandemic Assistance Programs and Agricultural Disaster Assistance Programs,Rule,Agriculture Department; Office of the Secretary; Farm Service Agency; Commodity Credit Corporation,"This rule announces Phase 2 of the Emergency Relief Program (ERP), which provides assistance to producers who suffered crop losses due to wildfires, hurricanes, floods, derechos, excessive heat, winter storms, freeze (including a polar vortex), smoke exposure, excessive moisture, and qualifying droughts occurring in calendar years 2020 and 2021. It also announces Pandemic Assistance Revenue Program (PARP), a new program that provides support for agricultural producers impacted by the COVID-19 pandemic. In addition, this rule makes changes to the Coronavirus Food Assistance Program (CFAP); the Emergency Conservation Program (ECP); the Emergency Forest Restoration Program (EFRP); the Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP); the Livestock Forage Disaster Program (LFP); the Livestock Indemnity Program (LIP); the Noninsured Crop Disaster Assistance Program (NAP); and general payment eligibility provisions. This rule also makes a technical correction to the Biomass Crop Assistance Program (BCAP).",88 FR 1862, 2023-00005,https://www.federalregister.gov/documents/2023/01/11/2023-00005/pandemic-assistance-programs-and-agricultural-disaster-assistance-programs,https://www.govinfo.gov/content/pkg/FR-2023-01-11/pdf/2023-00005.pdf,01/11/2023
Agricultural Disaster Indemnity Programs,Rule,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this rule to provide assistance for eligible quality losses under Stage 1 of the Supplemental Disaster Relief Program (SDRP) and to implement Stage 2 of SDRP, the On-Farm Stored Commodity Loss Program (OFSCLP), and the Milk Loss Program (MLP), all of which will provide assistance using funding authorized by the American Relief Act, 2025. SDRP provides payments to eligible producers for losses of crops, trees, bushes, and vines due to qualifying disaster events that occurred in calendar year 2023 or 2024. SDRP Stage 1 uses a streamlined process for eligible crop, tree, and vine losses that were previously indemnified under Federal crop insurance or the Noninsured Crop Disaster Assistance Program (NAP), while SDRP Stage 2 covers losses of eligible crops, trees, bushes, and vines for which a producer did not have crop insurance or NAP coverage, as well as losses that were insured or covered by NAP but not severe enough to trigger an indemnity. OFSCLP provides payments to eligible producers who suffered uncompensated losses of harvested commodities stored in on-farm structures as a result of wildfires, hurricanes, floods, derechos, excessive heat, tornadoes, winter storms, freeze, including a polar vortex, smoke exposure, qualifying drought, and related conditions that occurred in calendar year 2023 or 2024. MLP provides payments to eligible dairy operations for milk that was dumped or removed without compensation from the commercial milk market due to wildfires, hurricanes, floods, derechos, excessive heat, tornadoes, winter storms, freeze (including a polar vortex), smoke exposure, excessive moisture, qualifying drought, and related conditions that occurred in calendar year 2023 or 2024. This rule specifies the administrative provisions, eligibility requirements, and payment calculations for these programs. It also announces deadlines and adds quality loss assistance provisions for SDRP Stage 1. This rule also extends the deadlines for the Emergency Livestock Relief Program (ELRP) 2023 and 2024 and ELRP 2023 and 2024 Flood and Wildfire (FW).",90 FR 51956, 2025-20132,https://www.federalregister.gov/documents/2025/11/18/2025-20132/agricultural-disaster-indemnity-programs,https://www.govinfo.gov/content/pkg/FR-2025-11-18/pdf/2025-20132.pdf,11/18/2025
Emergency Livestock Relief Program (ELRP) 2023 and 2024,Rule,Agriculture Department; Farm Service Agency,"The Secretary of Agriculture is issuing this rule to implement the Emergency Livestock Relief Program (ELRP) 2023 and 2024, which provides payments to eligible livestock producers for losses due to qualifying drought and qualifying wildfire occurring in calendar years 2023 and 2024. This rule specifies the administrative provisions, eligibility requirements, and payment calculation for ELRP 2023 and 2024. The Farm Service Agency (FSA) will calculate payments using data already submitted to FSA by Livestock Forage Disaster Program (LFP) participants; therefore, producers are not required to file an additional application to receive ELRP 2023 and 2024 payments.",90 FR 22614, 2025-09581,https://www.federalregister.gov/documents/2025/05/29/2025-09581/emergency-livestock-relief-program-elrp-2023-and-2024,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09581.pdf,05/29/2025
"Notice of Intent To Prepare an Environmental Impact Statement for the Pleasant Creek Supplemental Watershed Plan in Sanpete County, Utah",Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) Utah State Office announces its intent to prepare an EIS for the Pleasant Creek watershed in Sanpete County, Utah. The proposed EIS will examine alternative solutions to address watershed structure rehabilitation, flood damage prevention and reduction, agricultural water management, water conservation, and public recreational efforts in Mt. Pleasant City and portions of unincorporated Sanpete County. The Pleasant Creek watershed includes Mt. Pleasant City; existing water resource facilities, including the Upper Debris Basin, Lower Debris Basin, the Surge Pond, and the Agricultural Reservoir; private agricultural land; and U.S. Forest Service-managed land in the upper watershed. NRCS is requesting comments to identify significant issues, potential alternatives, information, and analyses relevant to the proposed action from all interested individuals, Federal and State agencies, and Tribes.",89 FR 38861, 2024-10064,https://www.federalregister.gov/documents/2024/05/08/2024-10064/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-pleasant-creek-supplemental,https://www.govinfo.gov/content/pkg/FR-2024-05-08/pdf/2024-10064.pdf,05/08/2024
"Emergency Assistance for Livestock, Honey Bees, and Farm-Raised Fish Program (ELAP) Programs",Rule,Agriculture Department; Commodity Credit Corporation,"This rule makes changes to the Emergency Assistance for Livestock, Honey Bees, and Farm-raised Fish Program (ELAP) to assist producers with the cost of transporting feed to livestock intended for grazing and the cost of transporting livestock intended for grazing to feed. This rule amends the definition of ""eligible drought"" to cover situations in which any area of a county has been rated by the U.S. Drought Monitor as having a D2 (severe drought) intensity for at least 8 consecutive weeks, which will expand the availability of drought assistance for water transportation and honey bee feed losses. It also removes the restriction on providing assistance for transportation of water to livestock located on land enrolled in the Conservation Reserve Program (CRP).",87 FR 19783, 2022-07209,https://www.federalregister.gov/documents/2022/04/06/2022-07209/emergency-assistance-for-livestock-honey-bees-and-farm-raised-fish-program-elap-programs,https://www.govinfo.gov/content/pkg/FR-2022-04-06/pdf/2022-07209.pdf,04/06/2022
Land Management Plan Direction for Old-Growth Forest Conditions Across the National Forest System,Notice,Agriculture Department; Forest Service,The United States Department of Agriculture (Department) is proposing to amend all land management plans for units of the National Forest System (128 plans in total) to include consistent direction to conserve and steward existing and recruit future old-growth forest conditions and to monitor their condition across planning areas of the National Forest System. The intent is to foster the long-term resilience of old-growth forest conditions and their contributions to ecological integrity across the National Forest System. This notice initiates a scoping period on a preliminary proposed action and advises the public that the Department is preparing an environmental impact statement to evaluate the effects of amending the 128 land management plans.,88 FR 88042, 2023-27875,https://www.federalregister.gov/documents/2023/12/20/2023-27875/land-management-plan-direction-for-old-growth-forest-conditions-across-the-national-forest-system,https://www.govinfo.gov/content/pkg/FR-2023-12-20/pdf/2023-27875.pdf,12/20/2023
Supplemental Agricultural Assistance Programs,Rule,Agriculture Department; Commodity Credit Corporation,"This rule makes discretionary changes to simplify and streamline deadlines for the Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP), the Livestock Forage Disaster Program (LFP), and the Livestock Indemnity Program (LIP). It also makes changes to clarify ELAP provisions for assistance for transportation of livestock feed.",90 FR 5493, 2025-01104,https://www.federalregister.gov/documents/2025/01/17/2025-01104/supplemental-agricultural-assistance-programs,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01104.pdf,01/17/2025
"Notice of Intent To Prepare an Environmental Impact Statement for the Lower Bear River Watershed Plan in Box Elder County, Utah",Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) Utah State Office announces its intent to prepare an EIS for the Lower Bear River Watershed Plan in Box Elder County, Utah. The proposed EIS will examine alternative solutions to address agricultural water management, prevent flooding, protect the watershed, and enhance recreational opportunities in Tremonton, Elwood, Bear River City, Garland, and portions of unincorporated Box Elder County. The Lower Bear River Watershed includes small cities and towns, existing irrigation and municipal water resource infrastructure, U.S. Forest Service-managed land in the upper watershed, and wetlands associated with the Great Salt Lake (GSL). NRCS is requesting comments to identify significant issues, potential alternatives, information, and analyses relevant to the proposed action from all interested individuals, Federal and State agencies, and Tribes.",89 FR 50551, 2024-13062,https://www.federalregister.gov/documents/2024/06/14/2024-13062/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-lower-bear-river-watershed,https://www.govinfo.gov/content/pkg/FR-2024-06-14/pdf/2024-13062.pdf,06/14/2024
Supplemental Agricultural Disaster Assistance Programs,Rule,Agriculture Department; Commodity Credit Corporation,"The Agriculture Improvement Act of 2018 (2018 Farm Bill) amends the Agricultural Act of 2014 to make changes to the Supplemental Agricultural Disaster Assistance Programs, which include the Livestock Indemnity Program (LIP), the Livestock Forage Disaster Program (LFP), the Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program (ELAP), and the Tree Assistance Program (TAP). The rule includes changes required by the 2018 Farm Bill, as well as discretionary changes intended improve administration of the programs and clarify existing program requirements.",85 FR 10959, 2020-03841,https://www.federalregister.gov/documents/2020/02/26/2020-03841/supplemental-agricultural-disaster-assistance-programs,https://www.govinfo.gov/content/pkg/FR-2020-02-26/pdf/2020-03841.pdf,02/26/2020
Notice of Solicitation of Applications for Section 514 Off-Farm Labor Housing Loans and Section 516 Off-Farm Labor Housing Grants for New Construction for Fiscal Year 2024,Notice,Agriculture Department; Rural Housing Service,"The Rural Housing Service (RHS or Agency), a Rural Development (RD) agency of the United States Department of Agriculture (USDA), announces that it is soliciting competitive pre-applications for Section 514 Off-Farm Labor Housing (Off-FLH) loans and Section 516 Off- FLH grants for the construction of new Off-FLH units for domestic farm laborers, retired domestic farm laborers, or disabled domestic farm laborers. The program objective is to increase the supply of affordable housing for farm laborers. This Notice describes the method used to distribute funds, the pre-application and final application process, and submission requirements.",89 FR 28717, 2024-08155,https://www.federalregister.gov/documents/2024/04/19/2024-08155/notice-of-solicitation-of-applications-for-section-514-off-farm-labor-housing-loans-and-section-516,https://www.govinfo.gov/content/pkg/FR-2024-04-19/pdf/2024-08155.pdf,04/19/2024
Response to Western Water Quantity (WWQ) Listening Session,Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) hosted a virtual, open, public listening session, on December 17, 2020, with remote participation only, for public input about water quantity in the western United States as it relates to existing NRCS programs. NRCS provided stakeholders both an opportunity to give oral testimony during the listening session and a 30-day public comment period for additional input. NRCS received comments from 66 stakeholders, including representatives from national organizations, individuals or organizations from 13 western States, and one Indian Tribe. This notice responds to comments received during the listening session and the subsequent public comment period, which closed on January 19, 2021, and identifies the actions that NRCS has taken and will be taking in the months ahead.",88 FR 10080, 2023-03278,https://www.federalregister.gov/documents/2023/02/16/2023-03278/response-to-western-water-quantity-wwq-listening-session,https://www.govinfo.gov/content/pkg/FR-2023-02-16/pdf/2023-03278.pdf,02/16/2023
Milk Loss Program and Emergency Relief Program,Rule,Agriculture Department; Farm Service Agency,"This rule establishes provisions for providing agricultural disaster assistance as authorized by the Extending Government Funding and Delivering Emergency Assistance Act of 2021 and the Disaster Relief Supplemental Appropriations Act, 2023. The assistance will be for 2020, 2021, and 2022 milk losses. The Milk Loss Program will provide payments to eligible dairy operations for milk that was dumped or removed without compensation from the commercial milk market due to disaster events including droughts, wildfires, hurricanes, floods, derechos, excessive heat, winter storms, freeze (including a polar vortex), and smoke exposure that occurred in the 2020, 2021, and 2022 calendar years. Additionally, the Disaster Relief Supplemental Appropriations Act, 2023, also authorizes assistance for eligible milk losses due to tornadoes that occurred in 2022. This rule specifies the administrative provisions, eligibility requirements, application procedures, and payment calculations for the Milk Loss Program. This rule also makes corrections to Phase 2 of the Emergency Relief Program (ERP).",88 FR 62285, 2023-19479,https://www.federalregister.gov/documents/2023/09/11/2023-19479/milk-loss-program-and-emergency-relief-program,https://www.govinfo.gov/content/pkg/FR-2023-09-11/pdf/2023-19479.pdf,09/11/2023
Emergency Livestock Relief Programs,Rule,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this rule to implement the Emergency Livestock Relief Program (ELRP) 2023 and 2024 Flood and Wildfire (FW), which provides payments to eligible livestock producers for losses as a result of increased supplemental feed costs due to a qualifying flood or qualifying wildfire (excluding wildfires on federally managed land) in calendar years 2023 and 2024. This rule specifies the administrative provisions, eligibility requirements, and payment calculations for ELRP 2023 and 2024 FW. This rule also amends the regulation for ELRP 2023 and 2024, which provides assistance for qualifying drought and qualifying wildfire on federally managed land, to specify that it has a combined payment limitation with ELRP 2023 and 2024 FW and to provide program deadlines.",90 FR 44299, 2025-17742,https://www.federalregister.gov/documents/2025/09/15/2025-17742/emergency-livestock-relief-programs,https://www.govinfo.gov/content/pkg/FR-2025-09-15/pdf/2025-17742.pdf,09/15/2025
Notice of Funds Availability; Emergency Livestock Relief Program (ELRP) 2022,Notice,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this notice announcing ELRP 2022. This document provides the eligibility requirements and payment calculation for ELRP 2022 assistance. ELRP 2022 will provide payments to producers who faced increased supplemental feed costs as a result of forage losses due to a qualifying drought or wildfire in calendar year 2022, using data already submitted to FSA through the Livestock Forage Disaster Program (LFP).",88 FR 66361, 2023-21068,https://www.federalregister.gov/documents/2023/09/27/2023-21068/notice-of-funds-availability-emergency-livestock-relief-program-elrp-2022,https://www.govinfo.gov/content/pkg/FR-2023-09-27/pdf/2023-21068.pdf,09/27/2023
Supplemental Disaster Relief Program (SDRP) Stage 1,Rule,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this final rule announcing SDRP, which provides assistance to eligible producers for losses to crops, trees, bushes, and vines due to wildfires, hurricanes, floods, derechos, excessive heat, tornadoes, winter storms, freeze (including a polar vortex), smoke exposure, excessive moisture, qualifying drought, and related conditions occurring in calendar years 2023 and 2024. SDRP assistance will be provided in two stages, referred to as Stage 1 and Stage 2. This document provides the eligibility requirements, application process, and payment calculations for SDRP Stage 1 only, which will provide payments for eligible crop, tree, and vine losses calculated using data already on file with USDA from previously issued Federal crop insurance indemnities and Noninsured Crop Disaster Assistance Program (NAP) payments. FSA anticipates announcing SDRP Stage 2 in a later rule.",90 FR 30561, 2025-12803,https://www.federalregister.gov/documents/2025/07/10/2025-12803/supplemental-disaster-relief-program-sdrp-stage-1,https://www.govinfo.gov/content/pkg/FR-2025-07-10/pdf/2025-12803.pdf,07/10/2025
"Notice of Intent To Prepare an Environmental Impact Statement for the Clarke County Water Supply Project, Clarke County, Iowa",Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) Iowa State Office announces its intent to prepare a watershed plan for the Clarke County Water Supply project, which is located approximately 27.2 miles upstream of the confluence with the South River in the proximity of Osceola, Iowa. The proposed watershed plan will examine alternative solutions to the limited availability of a reliable water supply. The Clarke County Water Supply project includes the cities of Osceola, Murray, and Woodburn, Iowa, and the Clarke County rural service area. NRCS is requesting comments to identify significant issues, potential alternatives, information, and analyses relevant to the proposed action from all interested individuals, Federal and State agencies, and Tribes.",89 FR 23963, 2024-07291,https://www.federalregister.gov/documents/2024/04/05/2024-07291/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-clarke-county-water-supply,https://www.govinfo.gov/content/pkg/FR-2024-04-05/pdf/2024-07291.pdf,04/05/2024
