title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Protection of Stratospheric Ozone: Listing of Substitutes Under the Significant New Alternatives Policy Program in Refrigeration, Air Conditioning, and Fire Suppression",Rule,Environmental Protection Agency,"Pursuant to the U.S. Environmental Protection Agency's Significant New Alternatives Policy program, this action lists certain substances as acceptable, subject to use conditions, in the refrigeration and air conditioning sector for chillers--comfort cooling, residential dehumidifiers, residential and light commercial air conditioning and heat pumps, and a substance as acceptable, subject to use conditions and narrowed use limits, in very low temperature refrigeration. Through this action, EPA is incorporating by reference standards which establish requirements for electrical air conditioners, heat pumps, and dehumidifiers, laboratory equipment containing refrigerant, safe use of flammable refrigerants, and safe design, construction, installation, and operation of refrigeration systems. Finally, this action lists certain substances as acceptable, subject to use conditions, in the fire suppression sector for certain streaming and total flooding uses.",88 FR 26382, 2023-08663,https://www.federalregister.gov/documents/2023/04/28/2023-08663/protection-of-stratospheric-ozone-listing-of-substitutes-under-the-significant-new-alternatives,https://www.govinfo.gov/content/pkg/FR-2023-04-28/pdf/2023-08663.pdf,04/28/2023
Clean Water Act Section 404 Tribal and State Assumption Program,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA or the Agency) is finalizing the Agency's first comprehensive revisions to the regulations governing Clean Water Act (CWA) section 404 Tribal and State programs since 1988. The primary purpose of the revisions is to respond to longstanding requests from Tribes and States to clarify the requirements and processes for the assumption and administration of a CWA section 404 permitting program for discharges of dredged and fill material. The revisions facilitate Tribal and State assumption and administration of CWA section 404, consistent with the policy of the CWA as described in section 101(b), by making the procedures and substantive requirements for assumption transparent and straightforward. It clarifies the minimum requirements for Tribal and State programs while ensuring flexibility to accommodate individual Tribal and State needs. In addition, the final rule clarifies the criminal negligence standard in the CWA section 404 program, as well as making a corresponding change in the section 402 program. Finally, the final rule makes technical revisions, including removing outdated references associated with the section 404 Tribal and State program regulations.",89 FR 103454, 2024-29484,https://www.federalregister.gov/documents/2024/12/18/2024-29484/clean-water-act-section-404-tribal-and-state-assumption-program,https://www.govinfo.gov/content/pkg/FR-2024-12-18/pdf/2024-29484.pdf,12/18/2024
Finding That Greenhouse Gas Emissions From Aircraft Cause or Contribute to Air Pollution That May Reasonably Be Anticipated To Endanger Public Health and Welfare,Rule,Environmental Protection Agency,"In this action, the Administrator finds that elevated concentrations of greenhouse gases in the atmosphere endanger the public health and welfare of current and future generations within the meaning of section 231(a)(2)(A) of the Clean Air Act (CAA, or Act). She makes this finding specifically with respect to the same six well-mixed greenhouse gases--carbon dioxide (CO<INF>2</INF>), methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, and sulfur hexafluoride-- that together were defined as the air pollution in the 2009 Endangerment Finding under section 202(a) of the CAA and that together constitute the primary cause of the climate change problem. The Administrator also finds that emissions of those six well-mixed greenhouse gases from certain classes of engines used in certain aircraft are contributing to the air pollution--the aggregate group of the same six greenhouse gases--that endangers public health and welfare under CAA section 231(a)(2)(A).",81 FR 54422, 2016-18399,https://www.federalregister.gov/documents/2016/08/15/2016-18399/finding-that-greenhouse-gas-emissions-from-aircraft-cause-or-contribute-to-air-pollution-that-may,https://www.govinfo.gov/content/pkg/FR-2016-08-15/pdf/2016-18399.pdf,08/15/2016
Protection of Stratospheric Ozone: Listing of Substitutes Under the Significant New Alternatives Policy Program,Rule,Environmental Protection Agency,"Pursuant to the U.S. Environmental Protection Agency's (EPA) Significant New Alternatives Policy program, this action lists certain substances in the refrigeration and air conditioning sector. For the retail food refrigeration--medium-temperature stand-alone units (new) end-use, EPA is listing three substitutes as acceptable subject to narrowed use limits. For the residential and light commercial air conditioning and heat pumps (new) end-use, EPA is listing six substitutes as acceptable subject to use conditions. Through this action, EPA is incorporating by reference the 2019 Underwriters Laboratories (UL) Standard 60335-2-40, 3rd Edition, which establishes requirements for the evaluation of electrical air conditioners, heat pumps, and dehumidifiers, and safe use of flammable refrigerants. This action also removes an acceptable subject to use conditions listing for the fire suppression sector because EPA more recently listed the substitute as acceptable with no use restrictions.",86 FR 24444, 2021-08968,https://www.federalregister.gov/documents/2021/05/06/2021-08968/protection-of-stratospheric-ozone-listing-of-substitutes-under-the-significant-new-alternatives,https://www.govinfo.gov/content/pkg/FR-2021-05-06/pdf/2021-08968.pdf,05/06/2021
"Oil Pollution Prevention; Spill Prevention, Control, and Countermeasure (SPCC) Rule-Compliance Date Amendment for Farms",Rule,Environmental Protection Agency,"EPA (or the Agency) is taking final action to amend the date by which farms must prepare or amend, and implement their Spill Prevention, Control, and Countermeasure Plans to May 10, 2013. The date is being amended because a large segment of the continental U.S. was affected by flooding during the spring and summer of 2011, and other areas were impacted by devastating fires and drought conditions. In addition, despite the targeted farm outreach efforts by EPA over the past ten months, the sheer number of farms throughout the U.S. makes it a challenge to reach those owners and operators of farms that may be subject to the SPCC Plan regulations. As a result, the Agency believes that farms need additional time to come into compliance with the requirements to prepare or amend and implement a SPCC Plan.",76 FR 72120, 2011-29901,https://www.federalregister.gov/documents/2011/11/22/2011-29901/oil-pollution-prevention-spill-prevention-control-and-countermeasure-spcc-rule-compliance-date,https://www.govinfo.gov/content/pkg/FR-2011-11-22/pdf/2011-29901.pdf,11/22/2011
Emission Guidelines and Compliance Times for Municipal Solid Waste Landfills,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing a new subpart that updates the Emission Guidelines and Compliance Times for Municipal Solid Waste Landfills (Emission Guidelines). The EPA reviewed the landfills Emission Guidelines based on changes in the landfills industry since the Emission Guidelines were promulgated in 1996. The EPA's review of the Emission Guidelines for municipal solid waste (MSW) landfills considered landfills that accepted waste after November 8, 1987, and commenced construction, reconstruction, or modification on or before July 17, 2014. Based on this review, the EPA has determined that it is appropriate to revise the Emission Guidelines to reflect changes to the population of landfills and the results of an analysis of the timing and methods for reducing emissions. This action will achieve additional reductions in emissions of landfill gas and its components, including methane, by lowering the emissions threshold at which a landfill must install controls. This action also incorporates new data and information received in response to an advanced notice of proposed rulemaking and a proposed rulemaking and addresses other regulatory issues including surface emissions monitoring, wellhead monitoring, and the definition of landfill gas treatment system. The revised Emission Guidelines, once implemented through revised state plans or a revised federal plan, will reduce emissions of landfill gas, which contains both nonmethane organic compounds and methane. Landfills are a significant source of methane, which is a potent greenhouse gas pollutant. These avoided emissions will improve air quality and reduce the potential for public health and welfare effects associated with exposure to landfill gas emissions.",81 FR 59276, 2016-17700,https://www.federalregister.gov/documents/2016/08/29/2016-17700/emission-guidelines-and-compliance-times-for-municipal-solid-waste-landfills,https://www.govinfo.gov/content/pkg/FR-2016-08-29/pdf/2016-17700.pdf,08/29/2016
Revised 2023 and Later Model Year Light-Duty Vehicle Greenhouse Gas Emissions Standards,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is revising the greenhouse gas (GHG) emissions standards under the Clean Air Act section 202(a) for light-duty vehicles for 2023 and later model years to make the standards more stringent. On January 20, 2021, President Biden issued Executive Order 13990 ""Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis"" directing EPA to consider whether to propose suspending, revising, or rescinding the standards previously revised under the ""The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Years 2021- 2026 Passenger Cars and Light Trucks,"" promulgated in April 2020. EPA is revising the GHG standards to be more stringent than the SAFE rule standards in each model year from 2023 through 2026. EPA is also including temporary targeted flexibilities to address the lead time of the final standards and to incentivize the production of vehicles with zero and near-zero emissions technology. In addition, EPA is making technical amendments to clarify and streamline our regulations.",86 FR 74434, 2021-27854,https://www.federalregister.gov/documents/2021/12/30/2021-27854/revised-2023-and-later-model-year-light-duty-vehicle-greenhouse-gas-emissions-standards,https://www.govinfo.gov/content/pkg/FR-2021-12-30/pdf/2021-27854.pdf,12/30/2021
Credit Assistance for Water Infrastructure Projects,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is issuing an interim final rule to implement a new program authorized under Subtitle C of the Water Resources Reform and Development Act of 2014 (WRRDA), which is referred to as the Water Infrastructure Finance and Innovation Act of 2014 (WIFIA). WIFIA authorizes EPA to provide secured (direct) loans and loan guarantees to eligible water infrastructure projects. Projects will be evaluated and selected by the Administrator of the EPA based on criteria set out in this rule using weightings established in a separate Notice of Funding Availability (NOFA). Following project selection, individual credit agreements will be developed through negotiations between the project sponsors and EPA. EPA is soliciting comments on an interim final rule that establishes the guidelines for the new credit assistance program for water and infrastructure projects and the process by which EPA will administer such credit assistance. The interim final rule primarily restates and clarifies statutory language while establishing approaches to specific procedural issues left to EPA's discretion. This interim final rule pertains to a matter involving a federal loan and loan guarantee program and is therefore exempt from the rulemaking requirements of the Administrative Procedure Act. As such, EPA is issuing this rule as interim final.",81 FR 91822, 2016-30194,https://www.federalregister.gov/documents/2016/12/19/2016-30194/credit-assistance-for-water-infrastructure-projects,https://www.govinfo.gov/content/pkg/FR-2016-12-19/pdf/2016-30194.pdf,12/19/2016
Clean Water Act Hazardous Substance Facility Response Plans,Rule,Environmental Protection Agency,"The U.S. Environmental Protection Agency (EPA or Agency) is finalizing facility response plan requirements for worst case discharges of Clean Water Act (CWA) hazardous substances for onshore non-transportation-related facilities that could reasonably be expected to cause substantial harm to the environment by discharging a CWA hazardous substance into or on the navigable waters, adjoining shorelines, or exclusive economic zone.",89 FR 21924, 2024-05870,https://www.federalregister.gov/documents/2024/03/28/2024-05870/clean-water-act-hazardous-substance-facility-response-plans,https://www.govinfo.gov/content/pkg/FR-2024-03-28/pdf/2024-05870.pdf,03/28/2024
Standards of Performance for Municipal Solid Waste Landfills,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing a new subpart that updates the Standards of Performance for Municipal Solid Waste Landfills. Under section 111 of the Clean Air Act, the EPA must review, and, if appropriate, revise standards of performance at least every 8 years. The EPA's review of the standards for municipal solid waste landfills considered landfills that commence construction, reconstruction, or modification after July 17, 2014. The final standards also reflect changes to the population of landfills and an analysis of the timing and methods for reducing emissions. This action will achieve additional reductions in emissions of landfill gas and its components, including methane, by lowering the emissions threshold at which a landfill must install controls. This action also incorporates new data and information received in response to the proposed rulemaking and addresses other regulatory issues including surface emissions monitoring, wellhead monitoring, and the definition of landfill gas treatment system. The new subpart will reduce emissions of landfill gas, which contains both nonmethane organic compounds and methane. Landfills are a significant source of methane, which is a potent greenhouse gas pollutant. These avoided emissions will improve air quality and reduce the potential for public health and welfare effects associated with exposure to landfill gas emissions.",81 FR 59332, 2016-17687,https://www.federalregister.gov/documents/2016/08/29/2016-17687/standards-of-performance-for-municipal-solid-waste-landfills,https://www.govinfo.gov/content/pkg/FR-2016-08-29/pdf/2016-17687.pdf,08/29/2016
